Worker,Day,Shift,Start,End
1,1,"(1, 'cons_12_14')",2024-09-01 12:00,2024-09-01 14:00
1,1,"(1, 'x-ray_14_17')",2024-09-01 14:00,2024-09-01 17:00
1,2,"(2, 'cons_12_14')",2024-09-02 12:00,2024-09-02 14:00
1,2,"(2, 'endo_10_12')",2024-09-02 10:00,2024-09-02 12:00
1,2,"(2, 'surgery_15_17')",2024-09-02 15:00,2024-09-02 17:00
1,4,"(4, 'prostho_13_17')",2024-09-04 13:00,2024-09-04 17:00
1,5,"(5, 'x-ray_08_11')",2024-09-05 08:00,2024-09-05 11:00
1,5,"(5, 'cons_12_14')",2024-09-05 12:00,2024-09-05 14:00
2,1,"(1, 'cons_10_12')",2024-09-01 10:00,2024-09-01 12:00
2,1,"(1, 'morpho_13_17')",2024-09-01 13:00,2024-09-01 17:00
2,2,"(2, 'conslab_13_17')",2024-09-02 13:00,2024-09-02 17:00
2,3,"(3, 'prostho_13_17')",2024-09-03 13:00,2024-09-03 17:00
2,4,"(4, 'surgery_15_17')",2024-09-04 15:00,2024-09-04 17:00
2,5,"(5, 'prostho_12_16')",2024-09-05 12:00,2024-09-05 16:00
3,1,"(1, 'cons_12_14')",2024-09-01 12:00,2024-09-01 14:00
3,1,"(1, 'diagnosis_14_16')",2024-09-01 14:00,2024-09-01 16:00
3,2,"(2, 'surgery_09_11')",2024-09-02 09:00,2024-09-02 11:00
3,3,"(3, 'surgery_12_14')",2024-09-03 12:00,2024-09-03 14:00
3,3,"(3, 'diagnosis_14_16')",2024-09-03 14:00,2024-09-03 16:00
3,4,"(4, 'cons_10_12')",2024-09-04 10:00,2024-09-04 12:00
3,4,"(4, 'cons_14_16')",2024-09-04 14:00,2024-09-04 16:00
3,5,"(5, 'prostho_08_12')",2024-09-05 08:00,2024-09-05 12:00
3,5,"(5, 'surgery_12_14')",2024-09-05 12:00,2024-09-05 14:00
4,1,"(1, 'endo_10_12')",2024-09-01 10:00,2024-09-01 12:00
4,2,"(2, 'endo_14_16')",2024-09-02 14:00,2024-09-02 16:00
4,3,"(3, 'conslab_13_17')",2024-09-03 13:00,2024-09-03 17:00
4,4,"(4, 'conslab_13_17')",2024-09-04 13:00,2024-09-04 17:00
4,5,"(5, 'x-ray_08_11')",2024-09-05 08:00,2024-09-05 11:00
4,5,"(5, 'morpho_12_16')",2024-09-05 12:00,2024-09-05 16:00
5,1,"(1, 'diagnosis_10_12')",2024-09-01 10:00,2024-09-01 12:00
5,1,"(1, 'morpho_13_17')",2024-09-01 13:00,2024-09-01 17:00
5,2,"(2, 'morpho_13_17')",2024-09-02 13:00,2024-09-02 17:00
5,4,"(4, 'x-ray_14_17')",2024-09-04 14:00,2024-09-04 17:00
5,4,"(4, 'surgery_12_14')",2024-09-04 12:00,2024-09-04 14:00
5,5,"(5, 'prostho_12_16')",2024-09-05 12:00,2024-09-05 16:00
6,1,"(1, 'endo_12_14')",2024-09-01 12:00,2024-09-01 14:00
6,1,"(1, 'diagnosis_08_10')",2024-09-01 08:00,2024-09-01 10:00
6,2,"(2, 'cons_14_16')",2024-09-02 14:00,2024-09-02 16:00
6,2,"(2, 'endo_10_12')",2024-09-02 10:00,2024-09-02 12:00
6,2,"(2, 'endo_12_14')",2024-09-02 12:00,2024-09-02 14:00
6,3,"(3, 'x-ray_14_17')",2024-09-03 14:00,2024-09-03 17:00
6,3,"(3, 'surgery_12_14')",2024-09-03 12:00,2024-09-03 14:00
6,4,"(4, 'endo_14_16')",2024-09-04 14:00,2024-09-04 16:00
6,5,"(5, 'surgery_12_14')",2024-09-05 12:00,2024-09-05 14:00
7,1,"(1, 'prostho_13_17')",2024-09-01 13:00,2024-09-01 17:00
7,2,"(2, 'surgery_12_14')",2024-09-02 12:00,2024-09-02 14:00
7,3,"(3, 'morpho_13_17')",2024-09-03 13:00,2024-09-03 17:00
